,lmbda,noise_level,SSIM,CC,SAM,PSNR
0,0.001,0.0,0.8639994859695435,0.9633433818817139,0.1320415735244751,36.49428939819336
1,1e-05,0.0,0.4825771152973175,0.7890157103538513,0.41319072246551514,27.513362884521484
2,0.1,3.0,0.9378355741500854,0.9699546098709106,0.06653422117233276,37.493141174316406
3,0.001,3.0,0.9501745700836182,0.9873762130737305,0.06958039849996567,41.23662567138672
4,0.01,0.0,0.9207494258880615,0.9749619364738464,0.07233324646949768,38.2867431640625
5,0.1,0.0,0.9357469081878662,0.9690696001052856,0.06733490526676178,37.37145233154297
6,1e-05,3.0,0.7639767527580261,0.9303212761878967,0.21769461035728455,33.423179626464844
7,0.01,3.0,0.9486157298088074,0.9809039831161499,0.06391233205795288,39.45561981201172
8,0.0001,3.0,0.8802004456520081,0.9688200950622559,0.1370207667350769,37.187095642089844
9,0.0001,0.0,0.6619912385940552,0.8884932398796082,0.2778404951095581,31.0921573638916
